תאריך,מקור,תיאור,אסמכתא,חובה,זכות,יתרה,עמוד
01/11/2016,0011638,שיק,5000104,100.00,,104547.22,1
02/11/2016,,ל.מסטרקארדי,4749,1976.59,,102570.63,1
02/11/2016,,לאומי ויזה י,3040,1695.52,,100875.11,1
06/11/2016,,כספומט י,61118,2000.00,,98875.11,1
09/11/2016,0009001,שיק,5000057,3000.00,,95875.11,1
22/11/2016,,עמותת ידידי-י,87310,,1500.00,97375.11,1
01/12/2016,,הדסה-משכורת-י,3409,,4487.90,101863.01,1
01/12/2016,,המרכז האקדמי-י,2505,1483.65,,100379.36,1
02/12/2016,,ל.מסטרקארדי,864749,3628.73,,96750.63,1
02/12/2016,,לאומי ויזה י,853040,2120.09,,94630.54,1
04/12/2016,0012784,שיק,5000049,250.00,,94380.54,1
08/12/2016,,ויצו-י,2972,5991.00,,88389.54,1
08/12/2016,0009001,שיק,5000058,3000.00,,85389.54,1
11/12/2016,,קרן מחקרים ע-י,96833,,408.00,85797.54,1
11/12/2016,00989,כספומט פרטי י,101220,305.50,,85492.04,1
15/12/2016,,עמותת ידידי-י,87310,,1500.00,86992.04,1
20/12/2016,00903,כספומט י,201217,200.00,,86792.04,1
26/12/2016,,עמותת ידידי-י,87310,,2700.00,89492.04,1
27/12/2016,00700,הע. אינטרנט י,22556,650.00,,88842.04,1
01/01/2017,,הדסה-משכורת-י,3409,,6444.45,95286.49,1
01/01/2017,,המרכז האקדמי-י,2505,1608.97,,93677.52,1
02/01/2017,,ל.מסטרקארדי,734749,2429.84,,91247.68,1
02/01/2017,,לאומי ויזה י,723040,1393.70,,89853.98,1
08/01/2017,0009001,שיק,5000059,3000.00,,86853.98,1
09/01/2017,00784,בנקט י,90116,200.00,,86653.98,1
09/01/2017,00700,הע. אינטרנט י,55505,52.00,,86601.98,1
10/01/2017,00733,פיקדון*,48064,1131.00,,85470.98,1
20/01/2017,,פרעון פקדון,506518,,1131.00,86601.98,1
26/01/2017,00700,הע. אינטרנט י,2662,365.00,,86236.98,1
01/02/2017,,הדסה-משכורת-י,3409,,6569.01,92805.99,1
01/02/2017,,המרכז האקדמי-י,2505,1323.37,,91482.62,1
01/02/2017,,לאומי ויזה י,553040,133.25,,91349.37,1
02/02/2017,,ל.מסטרקארדי,444749,3577.68,,87771.69,1
02/02/2017,,לאומי ויזה י,433040,2196.24,,85575.45,1
08/02/2017,0009001,שיק,5000060,3000.00,,82575.45,1
09/02/2017,,כספומט י,90214,300.00,,82275.45,1
09/02/2017,,מגדל מקפת קר-י,15642,,8360.02,90635.47,1
13/02/2017,00733,פיקדון*,48042,2791.00,,87844.47,1
13/02/2017,0031369,שיק,5000105,350.00,,87494.47,1
15/02/2017,,עמותת ידידי-י,87310,,1500.00,88994.47,1
16/02/2017,00700,הע. אינטרנט י,6073,310.00,,88684.47,2
19/02/2017,,כספומט פרטי י,190214,205.90,,88478.57,2
20/02/2017,,קצבת ילדים-י,13104,,150.00,88628.57,2
22/02/2017,,ריבית,506518,,0.01,88628.58,2
22/02/2017,,פרעון פקדון,506518,,2791.00,91419.58,2
22/02/2017,,מגדל מקפת קר-י,15642,,7505.00,98924.58,2
01/03/2017,,הדסה-משכורת-י,3409,,6506.88,105431.46,2
01/03/2017,,המרכז האקדמי-י,2505,1284.40,,104147.06,2
01/03/2017,00700,הע. אינטרנט י,8711,2200.00,,101947.06,2
02/03/2017,,ל.מסטרקארדי,24749,5938.46,,96008.60,2
02/03/2017,,מב.דיסקונט ס-י,99011,,1000.00,97008.60,2
02/03/2017,,לאומי ויזה י,13040,1004.50,,96004.10,2
03/03/2017,00695,בנקט י,30310,1000.00,,95004.10,2
05/03/2017,0012562,שיק,5000106,343.57,,94660.53,2
09/03/2017,0009001,שיק,5000084,1655.00,,93005.53,2
09/03/2017,00700,הע. אינטרנט י,107411,60000.00,,33005.53,2
15/03/2017,,עמותת ידידי-י,87310,,1500.00,34505.53,2
15/03/2017,0012784,שיק,5000078,1345.00,,33160.53,2
15/03/2017,0012784,שיק,5000081,250.00,,32910.53,2
15/03/2017,0012784,שיק,5000082,250.00,,32660.53,2
15/03/2017,0012784,שיק,5000083,250.00,,32410.53,2
20/03/2017,,קצבת ילדים-י,13104,,150.00,32560.53,2
20/03/2017,00700,הע. אינטרנט י,43707,20000.00,,12560.53,2
23/03/2017,,בטוח לאומי ח-י,63051,,788.00,13348.53,2
23/03/2017,,העברה ברשימה,5280,,2000.00,15348.53,2
24/03/2017,,בטוח לאומי ח-י,63051,,25202.00,40550.53,2
02/04/2017,,הדסה-משכורת-י,3409,,74.18,40624.71,2
02/04/2017,,ל.מסטרקארדי,294749,2588.24,,38036.47,2
02/04/2017,,המרכז האקדמי-י,2505,1500.58,,36535.89,2
02/04/2017,,לאומי ויזה י,283040,541.40,,35994.49,2
02/04/2017,0012784,שיק,5000080,250.00,,35744.49,2
02/04/2017,0012719,שיק,5000092,420.00,,35324.49,2
09/04/2017,,ויצו-י,2972,1244.00,,34080.49,2
14/04/2017,,עמותת ידידי-י,87310,,1500.00,35580.49,2
20/04/2017,00700,הע. אינטרנט י,7437,400.00,,35180.49,2
25/04/2017,00695,בנקט י,240419,600.00,,34580.49,2
01/05/2017,90570,הפ.שיק מרוכז,1133,,1250.00,35830.49,2
01/05/2017,,המרכז האקדמי-י,2505,2545.67,,33284.82,2
01/05/2017,0012719,שיק,5000086,280.00,,33004.82,2
03/05/2017,,ל.מסטרקארדי,444749,2975.87,,30028.95,2
03/05/2017,,כרטיסי אשראי-י,8547,14.90,,30014.05,3
03/05/2017,,לאומי ויזה י,433040,1392.19,,28621.86,3
08/05/2017,,ויצו-י,2972,2419.00,,26202.86,3
09/05/2017,,עמותת ידידי-י,87310,,1500.00,27702.86,3
09/05/2017,00700,הע. אינטרנט י,12547,400.00,,27302.86,3
11/05/2017,0010905,שיק,5000093,3100.00,,24202.86,3
15/05/2017,,בטוח לאומי ח-י,63051,,1793.00,25995.86,3
21/05/2017,,בטוח לאומי ח-י,63052,,536.00,26531.86,3
23/05/2017,,לאומי ויזה י,543040,114.19,,26417.67,3
26/05/2017,00746,כספומט בדל י,250518,500.00,,25917.67,3
28/05/2017,,לאומי ויזה י,173040,73.64,,25844.03,3
29/05/2017,00989,כספומט פרטי י,290510,805.50,,25038.53,3
30/05/2017,,לאומי ויזה י,553040,298.51,,24740.02,3
01/06/2017,,המרכז האקדמי-י,2505,36.70,,24703.32,3
01/06/2017,,לאומי ויזה י,273040,49.91,,24653.41,3
01/06/2017,0012719,שיק,5000087,280.00,,24373.41,3
01/06/2017,0012784,שיק,5000136,250.00,,24123.41,3
01/06/2017,0012784,שיק,5000138,250.00,,23873.41,3
02/06/2017,,ל.מסטרקארדי,424749,3220.88,,20652.53,3
02/06/2017,,כרטיסי אשראי-י,8547,14.90,,20637.63,3
02/06/2017,,לאומי ויזה י,413040,2335.43,,18302.20,3
04/06/2017,00700,הע. אינטרנט י,2000,6000.00,,12302.20,3
06/06/2017,,לאומי ויזה י,673040,494.47,,11807.73,3
08/06/2017,,ויצו-י,2972,2419.00,,9388.73,3
11/06/2017,,עמותת ידידי-י,87310,,3300.00,12688.73,3
11/06/2017,,לאומי ויזה י,443040,39.00,,12649.73,3
11/06/2017,0009001,שיק,5000127,1550.00,,11099.73,3
12/06/2017,,העברת משכורת י,99052,,2522.00,13621.73,3
12/06/2017,00700,הע. אינטרנט י,31971,6000.00,,7621.73,3
14/06/2017,,מב. הפועלים-י,99012,,25000.00,32621.73,3
14/06/2017,0009001,שיק,5000128,1550.00,,31071.73,3
20/06/2017,,קצבת ילדים-י,13104,,166.00,31237.73,3
25/06/2017,00700,הע. אינטרנט י,49067,50.00,,31187.73,3
25/06/2017,00700,הע. אינטרנט י,49280,50.00,,31137.73,3
02/07/2017,,ל.מסטרקארדי,534749,4426.16,,26711.57,3
02/07/2017,,כרטיסי אשראי-י,8547,14.90,,26696.67,3
02/07/2017,,לאומי ויזה י,523040,4416.67,,22280.00,3
02/07/2017,0012784,שיק,5000139,250.00,,22030.00,3
03/07/2017,0012719,שיק,5000088,280.00,,21750.00,3
09/07/2017,,כספומט פרטי י,90711,102.90,,21647.10,3
09/07/2017,0009001,שיק,5000129,3100.00,,18547.10,4
11/07/2017,00700,הע. אינטרנט י,19029,400.00,,18147.10,4
11/07/2017,00700,הע. אינטרנט י,46592,100.00,,18047.10,4
13/07/2017,,העברת משכורת י,99052,,3570.00,21617.10,4
17/07/2017,,עמותת ידידי-י,87310,,1500.00,23117.10,4
19/07/2017,,מגדל מקפת קר-י,15642,,1420.00,24537.10,4
20/07/2017,,קצבת ילדים-י,13104,,288.00,24825.10,4
21/07/2017,00700,הע. אינטרנט י,14000,399.00,,24426.10,4
25/07/2017,,ויצו הסתדרות-י,13515,,3201.00,27627.10,4
26/07/2017,00700,הע. אינטרנט י,16337,18000.00,,9627.10,4
02/08/2017,,הדסה-משכורת-י,3409,,4846.65,14473.75,4
02/08/2017,,ל.מסטרקארדי,164749,1834.14,,12639.61,4
02/08/2017,,המרכז האקדמי-י,2505,126.00,,12513.61,4
02/08/2017,,המרכז האקדמי-י,2505,2200.00,,10313.61,4
02/08/2017,,כרטיסי אשראי-י,8547,3.85,,10309.76,4
02/08/2017,,לאומי ויזה י,153040,2600.01,,7709.75,4
03/08/2017,,ויצו-י,2972,1124.00,,6585.75,4
03/08/2017,0012784,שיק,5000140,250.00,,6335.75,4
06/08/2017,00733,פיקדון*,48011,4909.00,,1426.75,4
09/08/2017,,העברת משכורת י,99052,,1696.00,3122.75,4
09/08/2017,00700,הע. אינטרנט י,11717,400.00,,2722.75,4
10/08/2017,,מב. הפועלים-י,99012,,800.00,3522.75,4
13/08/2017,0009001,שיק,5000095,3100.00,,422.75,4
14/08/2017,0011067,שיק,5000067,250.00,,172.75,4
16/08/2017,,מב. הפועלים-י,99012,,2000.00,2172.75,4
20/08/2017,,קצבת ילדים-י,13104,,288.00,2460.75,4
22/08/2017,00700,הע. אינטרנט י,3165,150.00,,2310.75,4
22/08/2017,00700,הע. אינטרנט י,32128,150.00,,2160.75,4
24/08/2017,00700,הע. אינטרנט י,26931,100.00,,2060.75,4
31/08/2017,,מב.דיסקונט ס-י,99011,,800.00,2860.75,4
01/09/2017,,הדסה-משכורת-י,3409,,7451.69,10312.44,4
01/09/2017,,המרכז האקדמי-י,2505,39.10,,10273.34,4
01/09/2017,,מב. הפועלים-י,99012,,100.00,10373.34,4
03/09/2017,,ל.מסטרקארדי,874749,4345.37,,6027.97,4
03/09/2017,,לאומי ויזה י,863040,4183.25,,1844.72,4
03/09/2017,0012784,שיק,5000141,250.00,,1594.72,4
08/09/2017,0009001,שיק,5000130,3100.00,,-1505.28,4
