תאריך,כיוון,מקור,תיאור,אסמכתא,חובה,זכות,סכום,יתרה,עמוד
27/12/2016,יוצאת,00700,הע. אינטרנט י,22556,650.00,,650.00,88842.04,1
09/01/2017,יוצאת,00700,הע. אינטרנט י,55505,52.00,,52.00,86601.98,1
26/01/2017,יוצאת,00700,הע. אינטרנט י,2662,365.00,,365.00,86236.98,1
16/02/2017,יוצאת,00700,הע. אינטרנט י,6073,310.00,,310.00,88684.47,2
01/03/2017,יוצאת,00700,הע. אינטרנט י,8711,2200.00,,2200.00,101947.06,2
02/03/2017,נכנסת,,מב.דיסקונט ס-י,99011,,1000.00,1000.00,97008.60,2
09/03/2017,יוצאת,00700,הע. אינטרנט י,107411,60000.00,,60000.00,33005.53,2
20/03/2017,יוצאת,00700,הע. אינטרנט י,43707,20000.00,,20000.00,12560.53,2
23/03/2017,נכנסת,,העברה ברשימה,5280,,2000.00,2000.00,15348.53,2
20/04/2017,יוצאת,00700,הע. אינטרנט י,7437,400.00,,400.00,35180.49,2
09/05/2017,יוצאת,00700,הע. אינטרנט י,12547,400.00,,400.00,27302.86,3
04/06/2017,יוצאת,00700,הע. אינטרנט י,2000,6000.00,,6000.00,12302.20,3
12/06/2017,נכנסת,,העברת משכורת י,99052,,2522.00,2522.00,13621.73,3
12/06/2017,יוצאת,00700,הע. אינטרנט י,31971,6000.00,,6000.00,7621.73,3
14/06/2017,נכנסת,,מב. הפועלים-י,99012,,25000.00,25000.00,32621.73,3
25/06/2017,יוצאת,00700,הע. אינטרנט י,49067,50.00,,50.00,31187.73,3
25/06/2017,יוצאת,00700,הע. אינטרנט י,49280,50.00,,50.00,31137.73,3
11/07/2017,יוצאת,00700,הע. אינטרנט י,19029,400.00,,400.00,18147.10,4
11/07/2017,יוצאת,00700,הע. אינטרנט י,46592,100.00,,100.00,18047.10,4
12/07/2017,,,ETH 0.005,,,,3.62,,
12/07/2017,,,ETH 6.614,,,,4728.48,,
12/07/2017,,,ETH 7.033,,,,5027.28,,
13/07/2017,נכנסת,,העברת משכורת י,99052,,3570.00,3570.00,21617.10,4
21/07/2017,יוצאת,00700,הע. אינטרנט י,14000,399.00,,399.00,24426.10,4
26/07/2017,יוצאת,00700,הע. אינטרנט י,16337,18000.00,,18000.00,9627.10,4
09/08/2017,נכנסת,,העברת משכורת י,99052,,1696.00,1696.00,3122.75,4
09/08/2017,יוצאת,00700,הע. אינטרנט י,11717,400.00,,400.00,2722.75,4
