record_type,timestamp_utc,transaction_hash,block_number,event_index,status,from_address,to_address,asset,amount,amount_raw,decimals,transaction_fee_eth,transaction_fee_wei,method,token_contract,source_url
native_transaction,2017-11-16T09:11:04.000000Z,0x66031fcf22e5bba9ac3f2f7a6c8974cf2203a0f288f5eebec6af6c4834ecb624,4562544,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ETH,0.01,10000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0x66031fcf22e5bba9ac3f2f7a6c8974cf2203a0f288f5eebec6af6c4834ecb624
native_transaction,2017-11-16T09:14:25.000000Z,0xa689253ed1dd019f65c79b102c8f43197354ef6c6547e4075ca0a541e90e08bb,4562561,,ok,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,0.005,5000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0xa689253ed1dd019f65c79b102c8f43197354ef6c6547e4075ca0a541e90e08bb
native_transaction,2017-11-16T09:29:18.000000Z,0xb8a899b9066ed1def7efc74b4cb002edc43c0f49650176081468597b94eef71e,4562630,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ETH,5,5000000000000000000,18,0.000546,546000000000000,,,https://eth.blockscout.com/tx/0xb8a899b9066ed1def7efc74b4cb002edc43c0f49650176081468597b94eef71e
native_transaction,2017-11-16T09:32:07.000000Z,0x858b2614727f555fd45c526680924aa3753e2ab66f08b027020cc1c81fc540b7,4562642,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ETH,10,10000000000000000000,18,0.000546,546000000000000,,,https://eth.blockscout.com/tx/0x858b2614727f555fd45c526680924aa3753e2ab66f08b027020cc1c81fc540b7
native_transaction,2017-11-16T09:33:58.000000Z,0xad4692d2c3e1baa9f9abb8518110101cb67f4fb95c954d9e105e5a4c7ccebaf3,4562646,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ETH,14.54950323,14549503230000000000,18,0.000546,546000000000000,,,https://eth.blockscout.com/tx/0xad4692d2c3e1baa9f9abb8518110101cb67f4fb95c954d9e105e5a4c7ccebaf3
native_transaction,2017-11-16T09:37:43.000000Z,0xe765441d37da886eb7324f5ee2f41b6c7a819e08548d0c67c777f3d3ef78bdb8,4562660,,ok,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,0.01,10000000000000000,18,0.000546,546000000000000,,,https://eth.blockscout.com/tx/0xe765441d37da886eb7324f5ee2f41b6c7a819e08548d0c67c777f3d3ef78bdb8
token_transfer,2017-11-16T09:38:28.000000Z,0xa990e95e2bf7df31dfd4c22674e90cc382c1a6d5ca6e25f5f063ec0683588c6f,4562663,12,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,BNT,100,100000000000000000000,18,,,0xa9059cbb,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,https://eth.blockscout.com/tx/0xa990e95e2bf7df31dfd4c22674e90cc382c1a6d5ca6e25f5f063ec0683588c6f
native_transaction,2017-11-16T09:39:28.000000Z,0x3e9f6ea81b22c1fb01ed59338269a5d74b074f74cd1cdfce89c1340aafdea49c,4562668,,ok,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,0.01,10000000000000000,18,0.000546,546000000000000,,,https://eth.blockscout.com/tx/0x3e9f6ea81b22c1fb01ed59338269a5d74b074f74cd1cdfce89c1340aafdea49c
token_transfer,2017-11-16T10:06:32.000000Z,0xf352eb30836b719a3a375d77036521315eb92ca6198ae8e742dac9083724ceb3,4562792,64,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ERC-20,,777,,,,0xa9059cbb,0x52903256dd18D85c2Dc4a6C999907c9793eA61E3,https://eth.blockscout.com/tx/0xf352eb30836b719a3a375d77036521315eb92ca6198ae8e742dac9083724ceb3
native_transaction,2017-11-18T18:17:27.000000Z,0x2e49f7a55794d9e91d65e905ea3f164964dbd1e4c0083ec86eb5e558238472ab,4577330,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,ETH,0.1800564568,180056456800000000,18,0.000042,42000000000000,,,https://eth.blockscout.com/tx/0x2e49f7a55794d9e91d65e905ea3f164964dbd1e4c0083ec86eb5e558238472ab
