date,amount,transaction_hash
2017-11-16,0.01 ETH,0x66031fcf22e5bba9ac3f2f7a6c8974cf2203a0f288f5eebec6af6c4834ecb624
2017-11-16,5 ETH,0xb8a899b9066ed1def7efc74b4cb002edc43c0f49650176081468597b94eef71e
2017-11-16,10 ETH,0x858b2614727f555fd45c526680924aa3753e2ab66f08b027020cc1c81fc540b7
2017-11-16,14.54950323 ETH,0xad4692d2c3e1baa9f9abb8518110101cb67f4fb95c954d9e105e5a4c7ccebaf3
2017-11-16,100 BNT,0xa990e95e2bf7df31dfd4c22674e90cc382c1a6d5ca6e25f5f063ec0683588c6f
2017-11-16,777 ERC-20,0xf352eb30836b719a3a375d77036521315eb92ca6198ae8e742dac9083724ceb3
2017-11-16,0.0045 BTC,4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a
2017-11-18,0.1800564568 ETH,0x2e49f7a55794d9e91d65e905ea3f164964dbd1e4c0083ec86eb5e558238472ab
2017-11-27,0.005 ETH,0x8a23c64d189247f0d0420f88a5fff495bcffeb783b65e02b64b8e7de9474c5ea
2017-11-27,0.004916 ETH,0x27b09f69724c9f10ea34be59605a15aeec1d5ac9eb54308b7bb0d4cbb35338ff
2017-11-27,777 ERC-20,0x6adef85c041c77eb47976f11c6600934080dc2d4600f703f004c65df9ae6eb28
2017-12-02,5000000000000000000 ERC-20,0x96268ddd1cc31482f6e67b22b717586b155a80d8ebc4b33c3069c424e832fc64
2017-12-02,0.043 ETH,0x7bbaf94acfed626f83cb8218f1eb61e28e44d17b5fb7749e6539dc178df42268
2017-12-02,0.6 ETH,0xe816869b512c6106ce19670391c6f764aec535b6a9395a3d546ac19b88c3ec95
2017-12-14,0.0608089 BTC,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda
2017-12-22,27.8558586868 EMO,0xc53d7960791853ad81e92780005c087fe2d2251308fdde5a1772b9722b5c3ffc
2018-06-16,911 HEALP,0x2ea71dbb90b0a887ddeeea52d094171199009da9865647d7970123ccb0df718f
