record_type,timestamp_utc,transaction_hash,block_number,event_index,status,from_address,to_address,asset,token_name,token_type,token_reputation,amount,amount_raw,decimals,transaction_fee_eth,transaction_fee_wei,method,token_contract,source_url
native_transaction,2017-07-12T12:08:39.000000Z,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,4011970,,ok,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,0.005,5000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a
native_transaction,2017-07-12T12:23:50.000000Z,0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,4012028,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,ETH,,native,,0.003,3000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb
native_transaction,2017-07-12T13:34:20.000000Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,4012233,,ok,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,6.614,6614000000000000000,18,0.000462,462000000000000,,,https://eth.blockscout.com/tx/0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea
native_transaction,2017-07-12T13:37:07.000000Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,4012242,,ok,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,7.033,7033000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f
token_transfer,2017-07-22T21:46:04.000000Z,0xa2c94fac01851df07294cb3243281bf891b417bf292ec7c39d106de5e7f60a44,4059477,4,ok,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,EOS,EOS,ERC-20,ok,25,25000000000000000000,18,,,0xa9059cbb,0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0,https://eth.blockscout.com/tx/0xa2c94fac01851df07294cb3243281bf891b417bf292ec7c39d106de5e7f60a44
token_transfer,2017-07-22T21:54:40.000000Z,0x9bafe6e91caa1326a78950d54acaf0df09b1b5885bc75bdd334643393390cf64,4059506,9,ok,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,EOS,EOS,ERC-20,ok,5,5000000000000000000,18,,,0xa9059cbb,0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0,https://eth.blockscout.com/tx/0x9bafe6e91caa1326a78950d54acaf0df09b1b5885bc75bdd334643393390cf64
token_transfer,2017-07-22T21:57:39.000000Z,0x33d83c15612a6e1de2570f081ec41a204c90a428acc96fe2c4db3c6b55310dce,4059517,9,ok,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,BNT,Bancor Network,ERC-20,ok,5,5000000000000000000,18,,,0xa9059cbb,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,https://eth.blockscout.com/tx/0x33d83c15612a6e1de2570f081ec41a204c90a428acc96fe2c4db3c6b55310dce
token_transfer,2017-07-23T21:19:49.000000Z,0x10b11af3230d69b937f77ed4eda625a1a687220eafebac60122c2be805b8c789,4064052,16,ok,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,BNT,Bancor Network,ERC-20,ok,95,95000000000000000000,18,,,0xa9059cbb,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,https://eth.blockscout.com/tx/0x10b11af3230d69b937f77ed4eda625a1a687220eafebac60122c2be805b8c789
internal_transaction,2017-08-20T14:42:18.000000Z,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,4182070,2,ok,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,0.12421232,124212320000000000,18,,,call,,https://eth.blockscout.com/tx/0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc
internal_transaction,2017-08-20T15:14:14.000000Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,4182171,2,ok,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,5,5000000000000000000,18,,,call,,https://eth.blockscout.com/tx/0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d
internal_transaction,2017-09-04T07:24:07.000000Z,0x8d8034dd5292afbc2eb87db3007fd21ef75c4e0802ba45671b83543d3c21a993,4236748,2,ok,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,3.94414191,3944141910000000000,18,,,call,,https://eth.blockscout.com/tx/0x8d8034dd5292afbc2eb87db3007fd21ef75c4e0802ba45671b83543d3c21a993
native_transaction,2017-09-10T08:00:08.000000Z,0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1,4258094,,ok,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,ETH,,native,,0.001,1000000000000000,18,0.000441,441000000000000,,,https://eth.blockscout.com/tx/0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1
internal_transaction,2017-09-10T08:06:21.000000Z,0x1397edd5e9afa5a869406cf1d53d91b70048fe042e0a45db9da884f2409a160b,4258107,2,ok,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,ETH,,native,,6.84111,6841110000000000000,18,,,call,,https://eth.blockscout.com/tx/0x1397edd5e9afa5a869406cf1d53d91b70048fe042e0a45db9da884f2409a160b
token_transfer,2017-10-16T06:42:30.000000Z,0x80d1d744825261d8b7cbef4d998513c83994215d95f3dd7c4c7a726242a942b3,4370205,20,ok,0x683797EC3e59923f879D6ffA62Cdc887394ab4cb,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,WRC,Worldcore,ERC-20,ok,1,1000000,6,,,0xa9059cbb,0x72aDadb447784dd7AB1F472467750fC485e4cb2d,https://eth.blockscout.com/tx/0x80d1d744825261d8b7cbef4d998513c83994215d95f3dd7c4c7a726242a942b3
token_transfer,2017-10-24T00:21:41.000000Z,0xa9f1d4f61a90be26f519440a5e5457c1981a7e4c6a7edf8ed67f1af5c555cf21,4417525,27,ok,0xb59fDfF77a6175DFA4fE7aF4281a52f61611eAa2,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,XNN,XENON,ERC-20,ok,993.81983493383591176,993819834933835911760,18,,,0xad8733ca,0xab95E915c123fdEd5BDfB6325e35ef5515F1EA69,https://eth.blockscout.com/tx/0xa9f1d4f61a90be26f519440a5e5457c1981a7e4c6a7edf8ed67f1af5c555cf21
