match_group,bank_date_or_choice,bank_reference_or_choice,bank_payment_nis,receipt_date_utc,amount,coin,from_address,to_owned_wallet,transaction_hash,source_evidence,confidence,provisional_allocated_payment_nis,notes
JUNE_C7_BUNDLE,one of 2017-06-04 or 2017-06-12,one of 2000 or 31971,6000,2017-07-12T13:34:20Z,6.614,ETH,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,possible Saar wallet noted in trail.md,medium,,token receipts intentionally excluded from this BTC and ETH table
JUNE_C3_BUNDLE,other one of 2017-06-04 or 2017-06-12,other one of 2000 or 31971,6000,2017-07-12T12:08:39Z,0.005,ETH,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,Saar wallet identified in trail.md,medium,,likely test transfer in same bundle
JUNE_C3_BUNDLE,other one of 2017-06-04 or 2017-06-12,other one of 2000 or 31971,6000,2017-07-12T13:37:07Z,7.033,ETH,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,Saar wallet identified in trail.md,medium,,token receipts intentionally excluded from this BTC and ETH table
JUL26_BITSTAMP_BUNDLE,2017-07-26,16337,18000,2017-08-20T14:42:18Z,0.12421232,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,exact Bitstamp withdrawal-to-wallet match,high,138.35,allocated pro rata by receipt-date market value within bundle
JUL26_BITSTAMP_BUNDLE,2017-07-26,16337,18000,2017-08-20T15:14:14Z,5,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,exact Bitstamp withdrawal-to-wallet match,high,5557.24,allocated pro rata by receipt-date market value within bundle
JUL26_BITSTAMP_BUNDLE,2017-07-26,16337,18000,2017-09-04T07:24:07Z,3.94414191,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x8d8034dd5292afbc2eb87db3007fd21ef75c4e0802ba45671b83543d3c21a993,exact Bitstamp withdrawal-to-wallet match,high,4982.52,allocated pro rata by receipt-date market value within bundle
JUL26_BITSTAMP_BUNDLE,2017-07-26,16337,18000,2017-09-10T08:06:21Z,6.84111,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x1397edd5e9afa5a869406cf1d53d91b70048fe042e0a45db9da884f2409a160b,exact Bitstamp withdrawal-to-wallet match,high,7321.89,allocated pro rata by receipt-date market value within bundle
DEC03_BITSTAMP_PARTIAL,2017-12-03,27791,2760,2017-12-02T19:47:04Z,0.043,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0x7bbaf94acfed626f83cb8218f1eb61e28e44d17b5fb7749e6539dc178df42268,exact Bitstamp withdrawal-to-wallet match,low,184.76,provisional pro-rata allocation; receipt value is much lower than payment
DEC03_BITSTAMP_PARTIAL,2017-12-03,27791,2760,2017-12-02T20:09:07Z,0.6,ETH,0x1522900B6daFac587d499a862861C0869Be6E428,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0xe816869b512c6106ce19670391c6f764aec535b6a9395a3d546ac19b88c3ec95,exact Bitstamp withdrawal-to-wallet match,low,2575.24,provisional pro-rata allocation; receipt value is much lower than payment
DEC10_ETH,2017-12-10,135627,2300,2017-12-14T10:55:16Z,0.791,ETH,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0x31aeaB4FF2D0bB779f4a274b75D598d7c426E974,0x34ce16ad384effc4eac991db5f0b93dd29086d3474f3e255e38ab2ad6677fe91,Saar wallet identified in trail.md; delivered with BTC eleven seconds later,medium,2300,individual assignment minimizes value discrepancy
DEC12_BTC,2017-12-12,38809,3000,2017-12-14T10:55:27Z,0.0608089,BTC,Bitstamp batched payout,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda,exact Bitstamp withdrawal amount and near-identical withdrawal time,medium-high,3000,individual assignment minimizes value discrepancy
