source_image,source_row,type,date,time,account,amount,asset,value_usd,rate_usd,fee,fee_currency
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,1,Withdrawal,2017-12-02,22:08,Main Account,0.60000000,ETH,,,0.00000000,ETH
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,2,Withdrawal,2017-12-02,21:46,Main Account,0.04300000,ETH,,,0.00000000,ETH
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,3,Deposit,2017-12-02,17:58,Main Account,0.30000000,ETH,,,,
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,4,Withdrawal,2017-11-30,17:03,Main Account,15.01000000,ETH,,,0.00000000,ETH
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,5,Sell,2017-11-30,16:47,Main Account,0.44000000,BTC,4042.31,9187.06,8.90000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,6,Withdrawal,2017-11-30,16:43,Main Account,484.64200000,XRP,,,0.00000000,XRP
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,7,Deposit,2017-11-30,16:35,Main Account,0.44000000,BTC,,,,
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,8,Withdrawal,2017-11-30,16:27,Main Account,0.71500000,ETH,,,0.00000000,ETH
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,9,Buy,2017-11-30,15:50,Main Account,9.00000000,ETH,3528.00,392.00,4.24000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,10,Buy,2017-11-30,15:28,Main Account,1.51929315,ETH,614.14,404.23,0.74000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,11,Buy,2017-11-30,15:27,Main Account,12.00000000,ETH,4850.76,404.23,5.83000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,12,Buy,2017-11-30,15:27,Main Account,0.70000000,ETH,282.96,404.23,0.34000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,13,Buy,2017-11-30,15:27,Main Account,0.50000000,ETH,202.12,404.23,0.25000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,14,Buy,2017-11-30,15:27,Main Account,0.28070685,ETH,113.47,404.23,0.14000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,15,Buy,2017-11-30,15:27,Main Account,0.73000000,ETH,297.18,407.10,0.36000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,16,Buy,2017-11-30,15:06,Main Account,484.64286921,XRP,114.72,0.23672,0.28000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,17,Buy,2017-11-30,15:02,Main Account,0.23000000,ETH,98.21,426.99,0.12000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,18,Buy,2017-11-30,15:02,Main Account,0.50000000,ETH,213.49,426.98,0.26000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,19,Sell,2017-11-25,18:44,Main Account,0.40000000,ETH,188.28,470.70,0.21000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,20,Sell,2017-11-25,18:44,Main Account,0.10000000,ETH,47.14,471.39,0.06000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,21,Deposit,2017-11-25,17:57,Main Account,0.50000000,ETH,,,,
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,22,Sell,2017-11-24,15:24,Main Account,0.10000000,BTC,820.00,8200.00,1.81000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,23,Sell,2017-11-24,15:23,Main Account,11.00000000,ETH,4840.00,440.00,5.33000,USD
WhatsApp Image 2026-08-27 at 08.15.11.jpeg,24,Deposit,2017-11-24,15:21,Main Account,11.00000000,ETH,,,,
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,1,Sell,2017-11-23,10:23,Main Account,12.70000000,ETH,4815.33,379.16,5.30000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,2,Sell,2017-11-22,16:18,Main Account,0.10000000,BTC,815.00,8150.00,1.80000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,3,Buy,2017-11-22,16:12,Main Account,12.70000000,ETH,4574.41,360.19,5.04000,USD
