Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Deposit,"Dec. 02, 2017, 03:58 PM",Main Account,0.30000000 ETH,,,,
Withdrawal,"Dec. 02, 2017, 07:46 PM",Main Account,0.04300000 ETH,,,0.00000000 ETH,
Withdrawal,"Dec. 02, 2017, 08:08 PM",Main Account,0.60000000 ETH,,,0.00000000 ETH,
Withdrawal,"Dec. 06, 2017, 08:23 AM",Main Account,0.02500000 BTC,,,0.00000000 BTC,
Withdrawal,"Dec. 07, 2017, 12:06 PM",Main Account,0.31600000 BTC,,,0.00000000 BTC,
Deposit,"Dec. 08, 2017, 01:30 PM",Main Account,3715.00 USD,,,7.50 USD,
Deposit,"Dec. 09, 2017, 06:34 PM",Main Account,0.40000000 BTC,,,,
Withdrawal,"Dec. 09, 2017, 07:25 PM",Main Account,0.43480000 BTC,,,0.00000000 BTC,
Withdrawal,"Dec. 11, 2017, 06:57 AM",Main Account,0.09898400 BTC,,,0.00000000 BTC,
Withdrawal,"Dec. 11, 2017, 07:22 AM",Main Account,0.62900000 ETH,,,0.00000000 ETH,
Crypto currency purchase,"Dec. 12, 2017, 02:30 PM",Main Account,250.00 USD,,,12.50 USD,
Crypto currency purchase,"Dec. 12, 2017, 02:43 PM",Main Account,700.00 USD,,,35.00 USD,
Withdrawal,"Dec. 12, 2017, 02:51 PM",Main Account,1.14000000 ETH,,,0.00000000 ETH,
Deposit,"Dec. 12, 2017, 04:45 PM",Main Account,2100.00 USD,,,7.50 USD,
Withdrawal,"Dec. 12, 2017, 08:36 PM",Main Account,6.61253492 ETH,,,0.00000000 ETH,
Withdrawal,"Dec. 12, 2017, 09:06 PM",Main Account,0.73143473 LTC,,,0.00000000 LTC,
Withdrawal,"Dec. 13, 2017, 08:04 AM",Main Account,1.04202298 ETH,,,0.00000000 ETH,
Withdrawal,"Dec. 13, 2017, 08:07 AM",Main Account,2.19151947 LTC,,,0.00000000 LTC,
Withdrawal,"Dec. 13, 2017, 08:22 AM",Main Account,0.04070337 BTC,,,0.00000000 BTC,
Withdrawal,"Dec. 14, 2017, 10:48 AM",Main Account,0.06080890 BTC,,,0.00000000 BTC,
Crypto currency purchase,"Dec. 20, 2017, 02:17 PM",Main Account,100.00 USD,,,5.00 USD,
Withdrawal,"Dec. 21, 2017, 01:02 PM",Main Account,129.87710000 XRP,,,0.00000000 XRP,
Withdrawal,"Dec. 22, 2017, 01:58 PM",Main Account,1.80507440 LTC,,,0.00000000 LTC,
Withdrawal,"Dec. 22, 2017, 02:02 PM",Main Account,0.04000000 BTC,,,0.00000000 BTC,
Deposit,"Dec. 24, 2017, 10:25 AM",Main Account,15.02000000 ETH,,,,
Deposit,"Dec. 25, 2017, 07:12 AM",Main Account,10.00000000 ETH,,,,
Withdrawal,"Dec. 31, 2017, 11:29 AM",Main Account,1201.41100000 XRP,,,0.00000000 XRP,
Deposit,"Jan. 04, 2018, 12:08 PM",Main Account,0.20887731 BTC,,,,
Withdrawal,"Jan. 06, 2018, 08:57 PM",Main Account,221.33100000 XRP,,,0.00000000 XRP,
Withdrawal,"Jan. 07, 2018, 07:18 AM",Main Account,17.00000000 ETH,,,0.00000000 ETH,
Withdrawal,"Jan. 07, 2018, 07:25 AM",Main Account,1.32250000 ETH,,,0.00000000 ETH,
Deposit,"Jan. 08, 2018, 07:28 AM",Main Account,1.95390585 LTC,,,,
Withdrawal,"Jan. 08, 2018, 06:56 PM",Main Account,1.00000000 ETH,,,0.00000000 ETH,
Deposit,"Jan. 09, 2018, 01:53 PM",Main Account,1.32100910 LTC,,,,
Withdrawal,"Jan. 10, 2018, 01:08 PM",Main Account,0.23510000 ETH,,,0.00000000 ETH,
Deposit,"Jan. 14, 2018, 03:39 PM",Main Account,11.00000000 ETH,,,,
Deposit,"Jan. 21, 2018, 07:40 PM",Main Account,0.00085300 BTC,,,,
Deposit,"Jan. 21, 2018, 07:51 PM",Main Account,2.53550913 LTC,,,,
Withdrawal,"Jan. 27, 2018, 04:44 PM",Main Account,3.00000000 LTC,,,0.00000000 LTC,
Deposit,"Jan. 28, 2018, 07:04 AM",Main Account,11.00000000 ETH,,,,
Deposit,"Jan. 28, 2018, 11:26 AM",Main Account,3.71000000 ETH,,,,
Withdrawal,"Jan. 31, 2018, 01:03 PM",Main Account,11.10000000 ETH,,,0.00000000 ETH,
Withdrawal,"Feb. 18, 2018, 02:08 PM",Main Account,0.15750000 BTC,,,0.00000000 BTC,
Withdrawal,"Feb. 21, 2018, 06:00 AM",Main Account,0.16000000 BTC,,,0.00000000 BTC,
