Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Withdrawal,"Sep. 04, 2017, 07:21 AM",Main Account,3.94414191 ETH,,,0.00000000 ETH,
Deposit,"Sep. 05, 2017, 03:45 PM",Main Account,3000.00 USD,,,7.50 USD,
Withdrawal,"Sep. 07, 2017, 10:59 AM",Main Account,0.59876499 BTC,,,0.00000000 BTC,
Withdrawal,"Sep. 10, 2017, 08:06 AM",Main Account,6.84111000 ETH,,,0.00000000 ETH,
Withdrawal,"Sep. 14, 2017, 01:51 PM",Main Account,0.38400000 ETH,,,0.00000000 ETH,
Withdrawal,"Sep. 19, 2017, 10:44 AM",Main Account,0.06000000 BTC,,,0.00000000 BTC,
Deposit,"Sep. 26, 2017, 08:32 AM",Main Account,0.00000645 BCH,,,,
Deposit,"Sep. 29, 2017, 08:12 AM",Main Account,11.10000000 ETH,,,,
Deposit,"Sep. 29, 2017, 08:21 AM",Main Account,11.10000000 LTC,,,,
Withdrawal,"Oct. 09, 2017, 08:19 PM",Main Account,12.80000000 LTC,,,0.00000000 LTC,
Withdrawal,"Oct. 23, 2017, 09:45 PM",Main Account,0.65000000 BTC,,,0.00000000 BTC,
Deposit,"Oct. 24, 2017, 04:58 AM",Main Account,0.64500000 BTC,,,,
Withdrawal,"Oct. 26, 2017, 08:12 AM",Main Account,0.65000000 ETH,,,0.00000000 ETH,
Deposit,"Nov. 08, 2017, 03:30 PM",Main Account,1500.00 USD,,,7.50 USD,
Withdrawal,"Nov. 17, 2017, 07:26 AM",Main Account,1.00000000 ETH,,,0.00000000 ETH,
Withdrawal,"Nov. 19, 2017, 08:18 AM",Main Account,1.51200000 LTC,,,0.00000000 LTC,
Deposit,"Nov. 19, 2017, 09:26 PM",Main Account,0.02000000 BTC,,,,
Deposit,"Nov. 24, 2017, 01:21 PM",Main Account,11.00000000 ETH,,,,
Deposit,"Nov. 25, 2017, 03:57 PM",Main Account,0.50000000 ETH,,,,
Withdrawal,"Nov. 30, 2017, 02:27 PM",Main Account,0.71500000 ETH,,,0.00000000 ETH,
Deposit,"Nov. 30, 2017, 02:35 PM",Main Account,0.44000000 BTC,,,,
Withdrawal,"Nov. 30, 2017, 02:43 PM",Main Account,484.64200000 XRP,,,0.00000000 XRP,
Withdrawal,"Nov. 30, 2017, 03:03 PM",Main Account,15.01000000 ETH,,,0.00000000 ETH,
