date,type,amount,coin_type,fee,fee_coin,network,from,to,transaction_hash,status,source_record_type,event_index,token_contract,source_url,notes
2017-07-12T12:08:39Z,buying,0.005,ETH,,,Ethereum,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,ok,native_transaction,,,https://eth.blockscout.com/tx/0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,external-to-owned asset transfer
2017-07-12T12:23:50Z,selling,0.003,ETH,0.000441,ETH,Ethereum,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,ok,native_transaction,,,https://eth.blockscout.com/tx/0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,owned-to-external transfer; prior wallet note identifies outward transfers as sales
2017-07-12T13:34:20Z,buying,6.614,ETH,,,Ethereum,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,ok,native_transaction,,,https://eth.blockscout.com/tx/0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,external-to-owned asset transfer
2017-07-12T13:37:07Z,buying,7.033,ETH,,,Ethereum,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,ok,native_transaction,,,https://eth.blockscout.com/tx/0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,external-to-owned asset transfer
2017-07-22T21:46:04Z,buying,25,EOS,,,Ethereum,0xC7C13E9e7F9d7a8AF7E547e8aed62c62649B47d4,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xa2c94fac01851df07294cb3243281bf891b417bf292ec7c39d106de5e7f60a44,ok,token_transfer,4,0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0,https://eth.blockscout.com/tx/0xa2c94fac01851df07294cb3243281bf891b417bf292ec7c39d106de5e7f60a44,external-to-owned transfer of a documented acquired token
2017-07-22T21:54:40Z,buying,5,EOS,,,Ethereum,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x9bafe6e91caa1326a78950d54acaf0df09b1b5885bc75bdd334643393390cf64,ok,token_transfer,9,0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0,https://eth.blockscout.com/tx/0x9bafe6e91caa1326a78950d54acaf0df09b1b5885bc75bdd334643393390cf64,external-to-owned transfer of a documented acquired token
2017-07-22T21:57:39Z,buying,5,BNT,,,Ethereum,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x33d83c15612a6e1de2570f081ec41a204c90a428acc96fe2c4db3c6b55310dce,ok,token_transfer,9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,https://eth.blockscout.com/tx/0x33d83c15612a6e1de2570f081ec41a204c90a428acc96fe2c4db3c6b55310dce,external-to-owned transfer of a documented acquired token
2017-07-23T21:19:49Z,buying,95,BNT,,,Ethereum,0xc3B0beDE4A1590BAE1EcF930D144D38D6Dd5A2B8,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x10b11af3230d69b937f77ed4eda625a1a687220eafebac60122c2be805b8c789,ok,token_transfer,16,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,https://eth.blockscout.com/tx/0x10b11af3230d69b937f77ed4eda625a1a687220eafebac60122c2be805b8c789,external-to-owned transfer of a documented acquired token
2017-08-20T14:42:18Z,buying,0.12421232,ETH,,,Ethereum,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,ok,internal_transaction,2,,https://eth.blockscout.com/tx/0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,external-to-owned asset transfer
2017-08-20T15:14:14Z,buying,5,ETH,,,Ethereum,0x1522900B6daFac587d499a862861C0869Be6E428,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,ok,internal_transaction,2,,https://eth.blockscout.com/tx/0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,external-to-owned asset transfer
