tax_year,sale_date,coin_type,sale_transaction_hash,purchase_date,purchase_transaction_hash,quantity_matched,purchase_unit_price_nis,purchase_cost_nis,sale_unit_price_nis,gross_sale_value_nis,sale_expenses_nis,net_sale_proceeds_nis,gain_loss_nis
2017,2017-07-12T12:23:50Z,ETH,0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,2017-07-12T12:08:39Z,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,0.003,723.83753200,2.17,729.30930600,2.19,0.32,1.87,-0.30
2017,2017-09-10T08:00:08Z,ETH,0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1,2017-07-12T12:08:39Z,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,0.001,723.83753200,0.72,1025.00145000,1.03,0.45,0.58,-0.14
2017,2017-12-16T06:22:02Z,ETH,0x66f42b92c0a27aa03476ea1143f0ba759488cdebfc675cfdd79c823b5700fd51,2017-07-12T12:08:39Z,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,0.001,723.83753200,0.72,2477.40151500,2.48,0.00,2.48,1.76
2017,2017-12-16T06:22:02Z,ETH,0x66f42b92c0a27aa03476ea1143f0ba759488cdebfc675cfdd79c823b5700fd51,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.0203,714.91925100,14.52,2477.40151500,50.29,0.10,50.19,35.67
2017,2017-12-31T22:12:26Z,ETH,0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.001324,714.91925100,0.95,2595.81946800,3.44,0.82,2.62,1.67
2017,2017-12-31T22:15:54Z,ETH,0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.0047,714.91925100,3.36,2583.28699200,12.14,1.11,11.03,7.67
2020,2020-08-21T11:33:10Z,ETH,0xa4e8dfa8ad633657e69ee59283bb970e5b00466635e50289ef95c3dcef56622a,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,2.470237,714.91925100,1766.02,1383.02995600,3416.41,0.00,3416.41,1650.39
2020,2020-09-12T22:39:33Z,ETH,0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,2,714.91925100,1429.84,1327.04912400,2654.10,0.00,2654.10,1224.26
2020,2020-11-22T06:20:02Z,ETH,0x0dcafac6ad7c93f9242d539f157197ba453c35f69f207ae43473cfb853128b57,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.1,714.91925100,71.49,1803.82008800,180.38,0.00,180.38,108.89
2020,2020-11-22T06:28:19Z,ETH,0xea4d7ffa23dba062a601b8dd3f4968db2e5e62d3d6d76f6c5cded9c53b91506f,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,1.9,714.91925100,1358.35,1810.43091200,3439.82,0.00,3439.82,2081.47
2021,2021-02-13T06:25:49Z,ETH,0x82accb08520746f4b34bf2d31a7b9cade000dc66cfbb0a93e153d4cf065871e0,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.1,714.91925100,71.49,5992.77475400,599.28,12.37,586.91,515.42
2021,2021-09-06T11:46:00Z,ETH,0x591c5f461b44bb27a8ccd103ae8b9add0e6df4293d23074e0e5263720cee1654,2017-07-12T13:34:20Z,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,0.017439,714.91925100,12.47,12514.23177600,218.24,6.87,211.37,198.90
2021,2021-09-06T11:46:00Z,ETH,0x591c5f461b44bb27a8ccd103ae8b9add0e6df4293d23074e0e5263720cee1654,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.032561,714.81265800,23.27,12514.23177600,407.47,12.84,394.63,371.36
2021,2021-09-12T20:48:20Z,ETH,0x75488be98aad7206614e788e884c4d549f5aa4e2c91de852ca9c83be59cd7406,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.1,714.81265800,71.48,10765.18995300,1076.52,30.29,1046.23,974.75
2021,2021-10-10T18:40:26Z,ETH,0x6fa3fa3e680c630244e1de85d6cf205b8a638cec252437a12dfc2faf3fc95b5d,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.1,714.81265800,71.48,11365.96506500,1136.60,44.83,1091.77,1020.29
2021,2021-10-10T18:56:35Z,ETH,0xe18c530e3d8f3095624e5cfeb3e9711f82ce276f529f9a42eb3a38fd97e727f4,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,1.096500869083101,714.81265800,783.79,11380.98689000,12479.26,31.87,12447.39,11663.60
2023,2023-03-20T21:10:47Z,ETH,0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,1,714.81265800,714.81,6480.96376800,6480.96,6.39,6474.57,5759.76
2023,2023-08-04T17:37:23Z,ETH,0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.1,714.81265800,71.48,6788.69050000,678.87,7.23,671.64,600.16
2023,2023-08-04T18:22:23Z,ETH,0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,1.5,714.81265800,1072.22,6760.27144000,10140.41,6.13,10134.28,9062.06
2023,2023-11-09T13:11:59Z,ETH,0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.01994877,714.81265800,14.26,7353.45298800,146.69,15.03,131.66,117.40
2023,2023-11-09T13:37:47Z,ETH,0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.01142186,714.81265800,8.16,7342.57333600,83.87,17.00,66.87,58.71
2023,2023-11-11T11:17:47Z,ETH,0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.25941533,714.81265800,185.43,7983.57007500,2071.06,7.25,2063.81,1878.38
2023,2023-11-11T11:25:35Z,ETH,0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.18196936,714.81265800,130.07,8003.71090800,1456.43,8.36,1448.07,1318.00
2023,2023-11-17T08:05:47Z,ETH,0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.2703942,714.81265800,193.28,7349.38848000,1987.23,8.01,1979.22,1785.94
2024,2024-02-18T17:58:23Z,ETH,0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.04169769,714.81265800,29.81,10153.40144000,423.37,6.18,417.19,387.38
