date,type,coin_type,transaction_hash,gross_value_nis,sale_expenses_nis,evidence_or_notes
2017-07-12T12:08:39Z,buying,ETH,0xf6a56f2c2aba482741a09ac0bc6c83d375726b338903a1efd8fb93e052a1ea1a,,,
2017-07-12T12:23:50Z,selling,ETH,0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,,,
2017-07-12T13:34:20Z,buying,ETH,0x1527657e495d5c6f77336abfe5515ff4bd92aaeb2358d41e94fb1fee383093ea,,,
2017-07-12T13:37:07Z,buying,ETH,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,,,
2017-08-20T14:42:18Z,buying,ETH,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,,,
2017-08-20T15:14:14Z,buying,ETH,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,,,
2017-09-04T07:24:07Z,buying,ETH,0x8d8034dd5292afbc2eb87db3007fd21ef75c4e0802ba45671b83543d3c21a993,,,
2017-09-10T08:00:08Z,selling,ETH,0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1,,,
2017-09-10T08:06:21Z,buying,ETH,0x1397edd5e9afa5a869406cf1d53d91b70048fe042e0a45db9da884f2409a160b,,,
2017-11-16T09:58:01Z,buying,ETH,0x8c567acea7a1b114d0c3dd069bf9dc01345dd9f36e7e29805bd48d3c2b74f96a,,,
2017-11-16T10:55:46Z,buying,BTC,4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a,,,
2017-12-02T19:47:04Z,buying,ETH,0x7bbaf94acfed626f83cb8218f1eb61e28e44d17b5fb7749e6539dc178df42268,,,
2017-12-02T20:09:07Z,buying,ETH,0xe816869b512c6106ce19670391c6f764aec535b6a9395a3d546ac19b88c3ec95,,,
