tax_year,sale_date,coin_type,sale_transaction_hash,quantity_sold,gross_sale_value_nis,sale_expenses_nis,net_sale_proceeds_nis,fifo_purchase_lots,fifo_cost_basis_nis,gain_loss_nis,tax_before_annual_offsets_nis,nis_value_method,source_url
2017,2017-07-12T12:23:50Z,ETH,0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb,0.003,2.19,0.32,1.87,2017-07-12: 0.003 ETH,2.17,-0.30,0.00,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x307e607c1d2871817073a422bfaa9e13f30bb21f1cd7352508d618d1f38e99bb
2017,2017-09-10T08:00:08Z,ETH,0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1,0.001,1.03,0.45,0.58,2017-07-12: 0.001 ETH,0.72,-0.14,0.00,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x8ce3e0c9685ca2aeeb3806e7e5a2d80278b2c7b9f137651a00b73f029a2df8b1
2017,2017-12-16T06:22:02Z,ETH,0x66f42b92c0a27aa03476ea1143f0ba759488cdebfc675cfdd79c823b5700fd51,0.0213,52.77,0.10,52.67,2017-07-12: 0.001 ETH; 2017-07-12: 0.0203 ETH,15.24,37.43,9.36,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x66f42b92c0a27aa03476ea1143f0ba759488cdebfc675cfdd79c823b5700fd51
2017,2017-12-31T22:12:26Z,ETH,0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68,0.001324,3.44,0.82,2.62,2017-07-12: 0.001324 ETH,0.95,1.67,0.42,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68
2017,2017-12-31T22:15:54Z,ETH,0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3,0.0047,12.14,1.11,11.03,2017-07-12: 0.0047 ETH,3.36,7.67,1.92,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3
2020,2020-08-21T11:33:10Z,ETH,0xa4e8dfa8ad633657e69ee59283bb970e5b00466635e50289ef95c3dcef56622a,2.470237,3416.41,0.00,3416.41,2017-07-12: 2.470237 ETH,1766.02,1650.39,412.60,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xa4e8dfa8ad633657e69ee59283bb970e5b00466635e50289ef95c3dcef56622a
2020,2020-09-12T22:39:33Z,ETH,0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433,2,2654.10,0.00,2654.10,2017-07-12: 2 ETH,1429.84,1224.26,306.07,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433
2020,2020-11-22T06:20:02Z,ETH,0x0dcafac6ad7c93f9242d539f157197ba453c35f69f207ae43473cfb853128b57,0.1,180.38,0.00,180.38,2017-07-12: 0.1 ETH,71.49,108.89,27.22,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x0dcafac6ad7c93f9242d539f157197ba453c35f69f207ae43473cfb853128b57
2020,2020-11-22T06:28:19Z,ETH,0xea4d7ffa23dba062a601b8dd3f4968db2e5e62d3d6d76f6c5cded9c53b91506f,1.9,3439.82,0.00,3439.82,2017-07-12: 1.9 ETH,1358.35,2081.47,520.37,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xea4d7ffa23dba062a601b8dd3f4968db2e5e62d3d6d76f6c5cded9c53b91506f
2021,2021-02-13T06:25:49Z,ETH,0x82accb08520746f4b34bf2d31a7b9cade000dc66cfbb0a93e153d4cf065871e0,0.1,599.28,12.37,586.91,2017-07-12: 0.1 ETH,71.49,515.42,128.86,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x82accb08520746f4b34bf2d31a7b9cade000dc66cfbb0a93e153d4cf065871e0
