tax_year,coin_type,sale_transactions,quantity_sold,net_sale_proceeds_nis,fifo_cost_basis_nis,gain_loss_nis,taxable_annual_gain_nis,tax_owed_25_percent_nis
2017,ETH,5,0.031324,68.77,22.44,46.33,46.33,11.58
2017,ALL,5,,68.77,22.44,46.33,46.33,11.58
2018,ALL,0,,0.00,0.00,0.00,0.00,0.00
2019,ALL,0,,0.00,0.00,0.00,0.00,0.00
2020,ETH,4,6.470237,9690.71,4625.70,5065.01,5065.01,1266.25
2020,ALL,4,,9690.71,4625.70,5065.01,5065.01,1266.25
2021,ETH,5,1.446500869083101,15778.30,1033.98,14744.32,14744.32,3686.08
2021,ALL,5,,15778.30,1033.98,14744.32,14744.32,3686.08
2022,ALL,0,,0.00,0.00,0.00,0.00,0.00
2023,ETH,8,3.34314952,22970.12,2389.71,20580.41,20580.41,5145.10
2023,ALL,8,,22970.12,2389.71,20580.41,20580.41,5145.10
2024,ETH,11,2.45724046,28678.31,1790.40,26887.91,26887.91,6721.98
2024,ALL,11,,28678.31,1790.40,26887.91,26887.91,6721.98
2025,ETH,5,1.1919686,12988.56,1268.74,11719.82,11719.82,2929.96
2025,ALL,5,,12988.56,1268.74,11719.82,11719.82,2929.96
2026,BTC,1,0.00098871,216.87,25.99,190.88,190.88,47.72
2026,ALL,1,,216.87,25.99,190.88,190.88,47.72
