תאריך עסקה,שנת מס,סוג עסקה,אירוע חייב במס,ETH שהתקבל,ETH שנשלח,מחיר ETH בדולר,תמורה ממכירה בדולר,עלות מקור בדולר,רווח או הפסד הון בדולר,הכנסה מסטייקינג בדולר,מס משוער בדולר,עמלת עסקה ב־ETH,עמלת עסקה בדולר,יתרת ETH לאחר העסקה,מזהה עסקה בבלוקצ׳יין,הערות
2017-11-16 09:11:04,2017,קבלת ETH,לא,0.01,0,330.32,,,,,,0,0,0.01,0x66031fcf22e5bba9ac3f2f7a6c8974cf2203a0f288f5eebec6af6c4834ecb624,
2017-11-16 09:14:25,2017,מכירת ETH / מימוש,כן,0,0.005,330.32,1.65160,1.65160,0.00000,,0,0.000441,0.82164915,0.004559,0xa689253ed1dd019f65c79b102c8f43197354ef6c6547e4075ca0a541e90e08bb,
2017-11-16 09:29:18,2017,קבלת ETH,לא,5,0,330.32,,,,,,0,0,5.004559,0xb8a899b9066ed1def7efc74b4cb002edc43c0f49650176081468597b94eef71e,
2017-11-16 09:32:07,2017,קבלת ETH,לא,10,0,330.32,,,,,,0,0,15.004559,0x858b2614727f555fd45c526680924aa3753e2ab66f08b027020cc1c81fc540b7,
2017-11-16 09:33:58,2017,קבלת ETH,לא,14.54950323,0,330.32,,,,,,0,0,29.55406223,0xad4692d2c3e1baa9f9abb8518110101cb67f4fb95c954d9e105e5a4c7ccebaf3,
2017-11-16 09:37:43,2017,מכירת ETH / מימוש,כן,0,0.01,330.32,3.3032,3.30320,0.00000,,0,0.000546,1.0172799,29.54351623,0xe765441d37da886eb7324f5ee2f41b6c7a819e08548d0c67c777f3d3ef78bdb8,
2017-11-16 09:39:28,2017,מכירת ETH / מימוש,כן,0,0.01,330.32,3.3032,3.3032,0.0000,,0,0.000546,1.0172799,29.53297023,0x3e9f6ea81b22c1fb01ed59338269a5d74b074f74cd1cdfce89c1340aafdea49c,
2017-11-18 18:17:27,2017,קבלת ETH,לא,0.1800564568,0,346.65,,,,,,0,0,29.7130266868,0x2e49f7a55794d9e91d65e905ea3f164964dbd1e4c0083ec86eb5e558238472ab,
2017-11-27 06:13:32,2017,מכירת ETH / מימוש,כן,0,0.01,475.24,4.7524,3.3032,1.4492,,0.362300,0.000042,0.0782523,29.7029846868,0x6a53f8527f2fc7b0e5ca2b50adf3abe888779052a4e3714142064100f81e9f79,
2017-11-27 06:22:39,2017,קבלת ETH,לא,0.005,0,475.24,,,,,,0,0,29.7079846868,0x8a23c64d189247f0d0420f88a5fff495bcffeb783b65e02b64b8e7de9474c5ea,
2017-11-27 06:24:55,2017,קבלת ETH,לא,0.004916,0,475.24,,,,,,0,0,29.7129006868,0x27b09f69724c9f10ea34be59605a15aeec1d5ac9eb54308b7bb0d4cbb35338ff,
2017-11-27 06:27:09,2017,מכירת ETH / מימוש,כן,0,2.5,475.24,1188.100,825.800,362.300,,90.57500,0.000042,0.0782523,27.2128586868,0x504ffaab556da7f388927874aada82f7dda24b042494b7877777d32cf1c557ef,
2017-12-02 19:47:04,2017,קבלת ETH,לא,0.043,,457.96,,,,,,,,27.2558586868,0x7bbaf94acfed626f83cb8218f1eb61e28e44d17b5fb7749e6539dc178df42268,העברה פנימית בבלוקצ׳יין; השולח סומן כ־Bitstamp 2.
2017-12-02 20:09:07,2017,קבלת ETH,לא,0.6,,457.96,,,,,,,,27.8558586868,0xe816869b512c6106ce19670391c6f764aec535b6a9395a3d546ac19b88c3ec95,העברה פנימית בבלוקצ׳יין; השולח סומן כ־Bitstamp 2.
2017-12-31 22:12:26,2017,מכירת ETH / מימוש,כן,0,0.001324,741.13,0.98125612,0.43734368,0.54391244,,0.1359781100,0.000315,0.58689225,27.8542196868,0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68,
2017-12-31 22:15:54,2017,מכירת ETH / מימוש,כן,0,0.0047,741.13,3.483311,1.552504,1.930807,,0.48270175,0.0004305,0.802086075,27.8490891868,0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3,
2019-03-29 15:01:39,2019,קבלת ETH,לא,0.7907,0,144.41,,,,,,0,0,28.6397891868,0x21245ca702da089f803c4588564cb206e76a8223f668332bfa688d4a03a68169,
2020-09-12 22:39:33,2020,מכירת ETH / מימוש,כן,0,2,387.88,775.76,660.64,115.12,,28.7800,0.002961000045948,5.51678723560802,26.636828186754052,0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433,
