תאריך,סוג,ETH שנשלח,תמורה ממכירה,רווח או הפסד,מס משוער
2017-11-16 09:14:25,מכירת ETH / מימוש,0.005,1.65,0.00,0.00
2017-11-16 09:37:43,מכירת ETH / מימוש,0.01,3.30,0.00,0.00
2017-11-16 09:39:28,מכירת ETH / מימוש,0.01,3.30,0.00,0.00
2017-11-27 06:13:32,מכירת ETH / מימוש,0.01,4.75,1.45,0.36
2017-11-27 06:27:09,מכירת ETH / מימוש,2.5,1188.10,362.30,90.58
2017-12-31 22:12:26,מכירת ETH / מימוש,0.001324,0.98,0.54,0.14
2017-12-31 22:15:54,מכירת ETH / מימוש,0.0047,3.48,1.93,0.48
2020-09-12 22:39:33,מכירת ETH / מימוש,2,775.76,115.12,28.78
2023-03-20 21:10:47,מכירת ETH / מימוש,1,1738.45,1408.13,352.03
2023-08-04 17:37:23,מכירת ETH / מימוש,0.1,182.75,149.72,37.43
2023-08-04 18:22:23,מכירת ETH / מימוש,1.5,2741.28,2245.80,561.45
2023-11-09 13:11:59,מכירת ETH / מימוש,0.01994877,42.31,35.72,8.93
2023-11-09 13:37:47,מכירת ETH / מימוש,0.01142186,24.23,20.45,5.11
2023-11-11 11:17:47,מכירת ETH / מימוש,0.25941533,532.72,447.03,111.76
2023-11-11 11:25:35,מכירת ETH / מימוש,0.18196936,373.68,313.57,78.39
2023-11-17 08:05:47,מכירת ETH / מימוש,0.2703942,530.41,441.09,110.27
2024-02-18 17:58:23,מכירת ETH / מימוש,0.04169769,120.15,106.37,26.59
2024-03-04 15:12:11,מכירת ETH / מימוש,0.32038396,1163.59,1057.76,264.44
2024-05-04 14:23:23,מכירת ETH / מימוש,0.09865611,307.56,274.97,68.74
2024-05-20 07:36:11,מכירת ETH / מימוש,0.33469739,1225.52,1114.96,278.74
2024-06-26 07:45:35,מכירת ETH / מימוש,0.15157324,510.72,460.65,115.16
2024-07-29 05:50:11,מכירת ETH / מימוש,0.30157536,1000.61,900.99,225.25
2024-07-29 06:10:35,מכירת ETH / מימוש,0.29736796,986.65,888.42,222.11
2024-09-05 12:52:59,מכירת ETH / מימוש,0.11164444,264.36,227.48,56.87
2024-10-11 07:49:23,מכירת ETH / מימוש,0.44273365,1079.84,933.60,233.40
2024-11-21 05:26:23,מכירת ETH / מימוש,0.08534058,286.73,258.54,64.63
2024-12-12 09:21:11,מכירת ETH / מימוש,0.27157008,1054.41,964.71,241.18
2025-01-29 13:12:35,מכירת ETH / מימוש,0.34338024,1069.32,955.90,238.97
2025-05-27 08:13:59,מכירת ETH / מימוש,0.41326467,1100.11,963.60,240.90
2025-08-26 05:56:47,מכירת ETH / מימוש,0.1225156,563.81,523.34,130.84
2025-11-12 08:42:47,מכירת ETH / מימוש,0.15636768,533.91,482.26,120.56
2025-11-12 09:10:23,מכירת ETH / מימוש,0.15644041,534.16,482.48,120.62
