date,eth,usd,eth usd,balance,sell price,buy price,total usd buy price,profit,tax
11-17,0.01,3.3032,330.32,0.01,,,,,
11-17,-0.005,-1.65160,330.32,0.004559,1.65160,0.005 ETH @ $330.32,1.65160,0.00000,0
11-17,5,1651.60,330.32,5.004559,,,,,
11-17,10,3303.20,330.32,15.004559,,,,,
11-17,14.54950323,4805.9919069336,330.32,29.55406223,,,,,
11-17,-0.01,-3.3032,330.32,29.54351623,3.3032,0.005 ETH @ $330.32; 0.005 ETH @ $330.32,3.30320,0.00000,0
11-17,-0.01,-3.3032,330.32,29.53297023,3.3032,0.01 ETH @ $330.32,3.3032,0.0000,0
11-17,0.1800564568,62.416570749720,346.65,29.7130266868,,,,,
11-17,-0.01,-4.7524,475.24,29.7029846868,4.7524,0.01 ETH @ $330.32,3.3032,1.4492,0.362300
11-17,0.005,2.37620,475.24,29.7079846868,,,,,
11-17,0.004916,2.33627984,475.24,29.7129006868,,,,,
11-17,-2.5,-1188.100,475.24,27.2128586868,1188.100,2.5 ETH @ $330.32,825.800,362.300,90.57500
12-17,0.043,19.69228,457.96,27.2558586868,,,,,
12-17,0.6,274.776,457.96,27.8558586868,,,,,
12-17,-0.001324,-0.98125612,741.13,27.8542196868,0.98125612,0.001324 ETH @ $330.32,0.43734368,0.54391244,0.1359781100
12-17,-0.0047,-3.483311,741.13,27.8490891868,3.483311,0.0047 ETH @ $330.32,1.552504,1.930807,0.48270175
03-19,0.7907,114.184987,144.41,28.6397891868,,,,,
09-20,-2,-775.76,387.88,26.636828186754052,775.76,2 ETH @ $330.32,660.64,115.12,28.7800
06-21,0.099874,250.65377780,2509.70,26.736702186754052,,,,,
03-23,-1,-1738.45,1738.45,25.735716211754052,1738.45,0.468976 ETH @ $330.32; 0.531024 ETH @ $330.32,330.32000000,1408.13000000,352.0325000000
08-23,-0.1,-182.752,1827.52,25.634651358754052,182.752,0.1 ETH @ $330.32,33.032,149.720,37.43000
08-23,-1.5,-2741.280,1827.52,24.133744261754052,2741.280,1.5 ETH @ $330.32,495.480,2245.800,561.45000
09-23,0.5,818.065,1636.13,24.633744261754052,,,,,
11-23,-0.01994877,-42.3139345101,2121.13,24.611752086754052,42.3139345101,0.01994877 ETH @ $330.32,6.5894777064,35.7244568037,8.931114200925
11-23,-0.01142186,-24.2272499018,2121.13,24.598014367754052,24.2272499018,0.01142186 ETH @ $330.32,3.7728687952,20.4543811066,5.113595276650
11-23,-0.25941533,-532.7171626149,2053.53,24.337690857754052,532.7171626149,0.25941533 ETH @ $330.32,85.6900718056,447.0270908093,111.756772702325
11-23,-0.18196936,-373.6795398408,2053.53,24.154677090754052,373.6795398408,0.18196936 ETH @ $330.32,60.1081189952,313.5714208456,78.392855211400
11-23,0.01994877,39.1303103058,1961.54,24.174625860754052,,,,,
11-23,-0.2703942,-530.407966662,1961.61,23.903141844754052,530.407966662,0.2703942 ETH @ $330.32,89.316612144,441.091354518,110.27283862950
11-23,1.0807387,2185.923709394,2022.62,24.983880544754052,,,,,
02-24,-0.04169769,-120.1477239660,2881.40,24.941573854754052,120.1477239660,0.04169769 ETH @ $330.32,13.7735809608,106.3741430052,26.593535751300
03-24,-0.32038396,-1163.5864851260,3631.85,24.619278894754052,1163.5864851260,0.32038396 ETH @ $330.32,105.8292296672,1057.7572554588,264.439313864700
05-24,-0.09865611,-307.5623960472,3117.52,24.520496784754052,307.5623960472,0.09865611 ETH @ $330.32,32.5880862552,274.9743097920,68.743577448000
05-24,-0.33469739,-1225.5212692762,3661.58,24.185736394754052,1225.5212692762,0.33469739 ETH @ $330.32,110.5572418648,1114.9640274114,278.741006852850
05-24,0.000000001,0.00000366158,3661.58,24.185736395754052,,,,,
06-24,-0.15157324,-510.7199692504,3369.46,24.034121155754052,510.7199692504,0.15157324 ETH @ $330.32,50.0676726368,460.6522966136,115.163074153400
06-24,0.000015157,0.05107090522,3369.46,24.034136312754052,,,,,
06-24,0,0.00,3369.46,24.034136312754052,,,,,
