"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1863.15/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x66031fcf22e5bba9ac3f2f7a6c8974cf2203a0f288f5eebec6af6c4834ecb624","4562544","1510823464","2017-11-16 09:11:04","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.01","0","18.6315","0.000441","0.82164915","330.32","","","Transfer"
"0xa689253ed1dd019f65c79b102c8f43197354ef6c6547e4075ca0a541e90e08bb","4562561","1510823665","2017-11-16 09:14:25","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","","0","0.005","9.31575","0.000441","0.82164915","330.32","","","Transfer"
"0xb8a899b9066ed1def7efc74b4cb002edc43c0f49650176081468597b94eef71e","4562630","1510824558","2017-11-16 09:29:18","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","5","0","9315.75","0.000546","1.0172799","330.32","","","Transfer"
"0x858b2614727f555fd45c526680924aa3753e2ab66f08b027020cc1c81fc540b7","4562642","1510824727","2017-11-16 09:32:07","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","10","0","18631.5","0.000546","1.0172799","330.32","","","Transfer"
"0xad4692d2c3e1baa9f9abb8518110101cb67f4fb95c954d9e105e5a4c7ccebaf3","4562646","1510824838","2017-11-16 09:33:58","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","14.54950323","0","27107.9069429745","0.000546","1.0172799","330.32","","","Transfer"
"0xe765441d37da886eb7324f5ee2f41b6c7a819e08548d0c67c777f3d3ef78bdb8","4562660","1510825063","2017-11-16 09:37:43","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","","0","0.01","18.6315","0.000546","1.0172799","330.32","","","Transfer"
"0x3e9f6ea81b22c1fb01ed59338269a5d74b074f74cd1cdfce89c1340aafdea49c","4562668","1510825168","2017-11-16 09:39:28","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","","0","0.01","18.6315","0.000546","1.0172799","330.32","","","Transfer"
"0x2e49f7a55794d9e91d65e905ea3f164964dbd1e4c0083ec86eb5e558238472ab","4577330","1511029047","2017-11-18 18:17:27","0xdd99152be8f2c02ce69f5710d38c7c8b1e10aa5f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.1800564568","0","335.47218748692","0.000042","0.0782523","346.65","","","Transfer"
"0x6a53f8527f2fc7b0e5ca2b50adf3abe888779052a4e3714142064100f81e9f79","4630093","1511763212","2017-11-27 06:13:32","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xb3ebe04e4a61cdfc5dbe7fa98f96a7ff22e51817","","0","0.01","18.6315","0.000042","0.0782523","475.24","","","Transfer"
"0x8a23c64d189247f0d0420f88a5fff495bcffeb783b65e02b64b8e7de9474c5ea","4630127","1511763759","2017-11-27 06:22:39","0xb3ebe04e4a61cdfc5dbe7fa98f96a7ff22e51817","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.005","0","9.31575","0.000042","0.0782523","475.24","","","Transfer"
